id,value
840,10577.08
356,2302.1
076,9387.26
643,4355.92
250,9285.89
826,8726.13
792,6871.86
032,10945.78
170,9435.49
724,9556.43
380,7316
364,4738.17
276,4542.02
360,1291.5
616,7596.39
484,2219.37
710,4165.91
804,5156.99
604,6412.88
528,10754.47
203,15655.44
368,4127.97
152,8466.42
608,1471.55
124,3790.15
050,795.38
458,3594.18
056,9813.53
752,10669.48
642,5608.11
586,472.3
620,9462.04
392,756.19
376,10223.89
348,8288.33
400,7582.54
686,10438.31
756,8290.95
524,2419.87
784,6930.58
764,963.3
040,7368.25
504,1741.19
398,3416.72
788,5049.45
422,8268.53
680,1519.37
300,4674.41
218,2764.27
068,4065.25
600,6351.61
112,4744.63
591,10123.65
268,10851.94
100,6128.23
192,3648.49
188,8052.03
414,9369.43
703,7197.77
860,10988.62
320,2082.25
191,8975.58
275,6784.49
031,3411.34
214,3160.52
208,5483.57
144,1476.63
104,579.16
704,1081.62
372,6129.8
340,3034.67
512,5824.41
818,277.93
440,10171.15
231,244.69
048,15837.97
498,6441.01
705,12380.88
434,3761.55
051,7795.3
634,7869
070,6273.59
404,381.91
410,397.76
894,1072.26
566,85.02
012,399.6
876,179.23
496,5145.15
417,2547.99
807,7513.9
004,382.58
630,5166.99
428,7288.3
578,2584.74
233,10099.58
008,4628.92
548,397.08
508,404.38
156,8.23
516,4714.74
072,4899.59
716,756.48
246,1976.91
288,339.56
196,11634.39
499,16302.85
800,206.68
222,1348.99
120,309.14
116,472.82
462,14385.14
442,11825.76
646,562.38
694,1116.43
682,382.37
388,1808.17
454,279.68
180,56.42
384,191.44
024,130.89
450,154.35
638,4495.08
780,2789.52
729,84.69
036,136.6
470,6706.26
132,6089.71
242,3651.42
254,10194.45
748,2367.51
478,571.12
760,148.71
324,197.92
740,4336.45
266,1141.42
474,6306.74
328,2875.72
312,5279.61
258,7425.56
332,178.09
175,7148.8
688,18526.24
598,198.73
768,193.91
762,164.54
706,98.12
044,3826.12
020,19110.85
466,72.08
084,3561.87
531,8344.05
426,634.99
854,65.02
178,239.5
533,11058.76
262,1179.66
626,845.31
728,98.99
226,635.15
204,71
832,7819.4
316,4930.83
270,343.28
352,2266.47
558,119.1
108,64.87
140,148.06
887,23.76
418,96.42
232,185.09
690,78.88
562,23.37
662,3074.71
430,107.93
674,15257.23
292,14840.76
148,30.28
833,5597.89
850,4465.41
624,233.13
480,353.29
052,1537.02
174,463.2
438,8240.64
492,7455.92
534,6524.88
663,7235.06
060,4152.68
064,329.18
554,52.32
092,8268.02
796,6420.79
678,1121.1
670,2070.49
535,8046.86
652,13505.31
028,1330.56
834,1.7
234,2019.85
831,1498.42
136,979.91
659,1127.99
732,4036.99
096,77.49
212,302.82
580,340.53
308,150.19
540,46.94
304,214.89
660,759.9
238,1751.36
666,483.18
336,3213.84
500,420.08
702,637.15
090,2.91
584,6.76
862,0.98
882,0.5
016,0
184,0
408,0
296,0
583,0
520,0
570,0
585,0
612,0
654,0
772,0
776,0
795,0
798,0
