id,value
840,35010407
356,31769132
076,19953501
643,6356784
250,6039483
826,5923824
792,5795665
032,4947030
170,4801050
724,4523310
380,4363374
364,3979727
276,3777446
360,3532567
616,2883448
484,2861498
710,2470746
804,2255345
604,2114445
528,1872093
203,1674183
368,1660371
152,1618457
608,1612541
124,1430483
050,1309910
458,1163291
056,1130758
752,1101900
642,1083982
586,1043277
620,974203
392,956407
376,884933
348,809731
400,773657
686,723031
756,717550
524,705072
784,685462
764,672385
040,655853
504,642683
398,641547
788,596775
422,564364
680,528952
300,501030
218,487702
068,474538
600,453031
112,448335
591,436812
268,432903
100,426003
192,413251
188,410180
414,400128
703,392845
860,381715
320,373047
191,364244
275,346105
031,345882
214,342850
208,319295
144,316194
104,315118
704,307570
372,304310
340,300572
512,297431
818,284415
440,284191
231,281300
048,269495
498,259828
705,259486
434,258467
051,230993
634,226710
070,205825
404,205356
410,203926
894,197123
566,175264
012,175229
876,174461
496,168673
417,166236
807,156543
004,148933
630,147820
428,139037
578,138738
233,134221
008,133211
548,132901
508,126391
156,121067
516,119797
072,115220
716,112435
246,109230
288,105512
196,103314
499,102392
800,94537
222,87498
120,82064
116,79051
462,77758
442,74042
646,72841
694,65315
682,64024
388,53543
454,53503
180,50529
384,50499
024,43020
450,42742
638,40245
780,39039
729,37138
036,34833
470,34508
132,33858
242,32733
254,30449
748,27467
478,26555
760,26026
324,25992
740,25439
266,25405
474,23667
328,22619
312,21125
258,20859
332,20307
175,19503
688,18220
598,17780
768,16053
762,15693
706,15594
044,15046
020,14766
466,14596
084,14163
531,13692
426,13603
854,13591
178,13216
533,11807
262,11655
626,11145
728,11081
226,8911
204,8608
832,8429
316,8322
270,8296
352,8253
558,7890
108,7714
140,7151
887,7086
418,7015
232,6564
690,6292
562,5658
662,5646
430,5459
674,5178
292,5000
148,4973
833,4760
850,4663
624,4588
480,4493
052,4417
174,4028
438,3193
492,2926
534,2798
663,2797
060,2586
064,2540
554,2523
092,2500
796,2486
678,2457
670,2297
535,1683
652,1335
028,1303
834,1017
234,987
831,966
136,644
659,600
732,454
096,339
212,218
580,196
308,169
540,134
304,122
660,114
238,61
666,28
336,26
500,21
702,20
090,20
584,4
862,3
882,1
016,0
184,0
408,0
296,0
583,0
520,0
570,0
585,0
612,0
654,0
772,0
776,0
795,0
798,0
