id,value
840,609022
356,425757
076,557223
643,161715
250,110921
826,129881
792,51645
032,106045
170,121216
724,81773
380,128115
364,91785
276,91704
360,100636
616,75269
484,241279
710,72992
804,53024
604,196518
528,17832
203,30372
368,18865
152,35640
608,28141
124,26592
050,21638
458,9598
056,25251
752,14657
642,34298
586,23529
620,17397
392,15219
376,6497
348,30032
400,10071
686,7127
756,10362
524,9957
784,1960
764,5503
040,10541
504,9949
398,9077
788,20226
422,7917
680,8270
300,12997
218,31644
068,17859
600,15086
112,3483
591,6842
268,5948
100,18225
192,2993
188,5059
414,2345
703,12541
860,5972
320,10483
191,8267
275,3877
031,5034
214,3968
208,2550
144,4588
104,10695
704,3623
372,5035
340,7902
512,3877
818,16540
440,4422
231,4395
048,1384
498,6261
705,4762
434,3609
051,4625
634,601
070,9689
404,3995
410,2106
894,3422
566,2163
012,4370
876,2071
496,833
417,2363
807,5494
004,6836
630,2585
428,2556
578,804
233,1273
008,2457
548,901
508,1500
156,5639
516,3080
072,1653
716,3676
246,984
288,844
196,429
499,1631
800,2725
222,2663
120,1334
116,1471
462,222
442,822
646,844
694,38
682,1394
388,1203
454,1700
180,1045
384,332
024,1022
450,947
638,288
780,1092
729,2776
036,925
470,423
132,298
242,261
254,189
748,813
478,576
760,1918
324,234
740,652
266,164
474,147
328,547
312,283
258,154
332,560
175,174
688,91
598,192
768,155
762,122
706,828
044,292
020,128
466,534
084,337
531,127
426,377
854,169
178,178
533,111
262,156
626,26
728,120
226,123
204,110
832,70
316,143
270,227
352,30
558,196
108,10
140,98
887,1380
418,7
232,35
690,120
562,196
662,89
430,220
674,90
292,94
148,174
833,29
850,39
624,78
480,20
052,48
174,147
438,58
492,33
534,34
663,30
060,33
064,2
554,26
092,31
796,18
678,37
670,12
535,17
652,1
028,43
834,21
234,2
831,18
136,2
659,3
732,7
096,3
212,0
580,2
308,1
540,0
304,0
660,0
238,0
666,0
336,0
500,1
702,0
090,0
584,0
862,0
882,0
016,0
184,0
408,0
296,0
583,0
520,0
570,0
585,0
612,0
654,0
772,0
776,0
795,0
798,0
